experiment_id,dataset,model_name,training_strategy,head_type,learning_rate,batch_size,weight_decay,epochs,frozen_epochs,patience,seed,epoch,phase,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,epoch_time,trainable_parameters
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,2,train_val,0.763491175503201,73.71333333333334,98.16888888888889,0.6304660837173461,78.24,98.74,49.98852039999838,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,3,train_val,0.6537023720211453,77.49111111111111,98.72666666666667,0.5872386171340942,80.0,99.0,49.41024539999853,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,4,train_val,0.5938676070107354,79.55111111111111,98.94444444444444,0.5823452503204346,80.08,98.98,49.66100559999904,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,5,train_val,0.5442966223398844,81.35777777777778,99.08666666666667,0.5329831757545471,81.52,99.04,49.29438339999979,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,6,train_val,0.5102786184946696,82.16222222222223,99.25333333333332,0.5741893653869629,81.16,98.82,48.55722909999895,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,7,train_val,0.4795879919264051,83.34,99.36222222222224,0.5326653979301452,82.2,99.0,48.53998649999994,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,8,train_val,0.4530747573852539,84.17333333333333,99.33555555555556,0.4836486270904541,83.36,99.28,49.36052900000141,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,9,train_val,0.4301158955891927,84.95333333333333,99.5111111111111,0.4511812536239624,84.36,99.12,50.7037820000005,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,10,train_val,0.4125406407462226,85.75111111111111,99.54666666666668,0.4500316138267517,84.8,99.26,49.09055869999793,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,11,train_val,0.3964998040093316,86.10222222222222,99.58888888888887,0.4568840933799744,84.98,99.32,49.61281770000278,11181642
